issuekey,storypoint,context,codesnippet,Bug,Improvement,New Feature,Story,Sub-task,Task,Admin - Event Viewer,Admin - Extensions,Admin - File Manager,Admin - Google Analytics,Admin - Languages,Admin - Pages,Admin - Recycle Bin,Admin - Search Engine SiteMap,Admin - Security Roles,Admin - Site Log,Admin - Site Settings,Admin - Site Wizard,Admin - Skins,Admin - Taxonomy,Admin - User Accounts,Admin - Vendors,Admin / Host Functions,Authentication,CKEditor,Client Resources,Control Panel,Control Panel - Icon Bar,Control Panel - Ribbon Bar,Core API,Core Modules,DDR Menu,Data Access (DAL),Document viewer,Documentation,Dynamic Content Creator,End User Functions,Exception Management,File Manager,Friendly / Standard URLs,General,Graphics & Icons,HTML Editor,HTML Module - Core,Help,Host - Configuration Manager,Host - Dashboard,Host - Device Detection Management,Host - Extensions,Host - File Manager,Host - Host Settings,Host - Lists,Host - Module Definitions,Host - SQL,Host - Schedule,Host - Search Admin,Host - Site Management,Host - SuperUser Accounts,Host = Membership Management,Host Page,ImageHandler,Import / Export,Installation,Installation / Upgrade,Journal,Localization - Content,Localization - Language Packs,Localization - Static,Localization / ML,Login/Registration,Login/Registration - Password Reset,MVC,Member Directory,Messaging,Mobile,Modules - Core,Modules - Third party,Moniker,Notifications,Performance,Professional Features Showcase,Provider - Active Directory,Providers,Release Packaging,SSL,Search,Security & Permissions,Services Framework,Site Groups,Skinning,Skins - DotNetNuke,Social Groups,Telerik,Templates,UI / Usability,URL ReWriter,Upgrade,User Profile,dam,jQuery
DNN-19514,3.0,"HTML5 tags as content panes We are transforming our new skins to html 5, for now just the little steps. But I encountered the following issue. It seems to be that DNN  does not allow header and footer tags to be contentpanes. For example
 &lt;footer class=""footer""  id=""FooterPane""  runat=""server""&gt;&lt;/footer&gt;
 Is not recognized. Does anybody have an idea why?  
For now I included an extra div in the footer element for the content pane, but I would like the use the html 5 tags for content panes as well. 



Clear Steps to Reproduce:
1- enter the following into en dnn html 5 skin
2.- &lt;footer class=""footer""  id=""FooterPane""  runat=""server""&gt;&lt;/footer&gt;

Actual Result:
1. No error, but the footer will not act as an contentpane
2.

Expected Result:
1. The footer should act as an contentpane",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DNN-19591,2.0,"Portal templates are incomplete This is long overdue, but has just become more urgent due to the new popups being enabled by default on all new sites.

Problem
Certain site settings are not being included in the portal template when it is exported. It means that portal creation is incomplete when a portal template is imported.

Solution
Please add these items to the portal template:

In Site Settings, Usability Settings:

    Enable Pop-Ups
    Inline Editor Enable
    Hide System Folders
    Control Panel Mode
    Control Panel Visibility
    Control Panel Security",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-19668,3.0,"For authenticated hosts, consider allowing click-through from ""critical error has occurred"" error message to associated event log entry This would save me a considerable amount of time during debugging, especially if the associated event log entry were displayed inside a pop-up window.",,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-20082,1.0,"When combining CSS and JS, write a comment to tell which file is which Right now when you combine files you don&amp;apos;t know which file the css or js is coming from. It would be nice to print out a comment that tells which file is which. Perhaps this should be a configurable option as well?


The composite file provider in CDF currently does


     if (type == ClientDependencyType.Javascript)
    {
     sw.Write("";;;""); //write semicolons in case the js isn&amp;apos;t formatted correctly. This also helps for debugging.
    }


We could follow the same strategy --


if (optionIsEnabledD) { sw.Write(fileNameComment); }


This will help for debugging when composite files is enabled (which is admittedly not the best way to do it, but hey sometimes you need to).",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-3044,1.0,"SI:iPhone and iPad mega menu rendering issue Brief Description of Issue:
On the iPhone and iPad the Home Page sub-menu is not rendering.

Clear Steps to Reproduce:
1. Host&gt;Site Management
2. Click Manage &gt;Add New site &gt;Site type : child portal
3. Template: Select mobile website "" Default skin DarkKnightMobile -home"" and create site.
 
Browse the child portal and home page Sub-menu is not rendering with DarkKnightMobile
-home, but if i switch the skin to
DarkKnightMobile -interior, Home page sub-menu start rendering fine..",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-20333,1.0,"Error inside ModuleSettingsPresenterBase Brief Description of Issue:


The constructor of ModuleSettingsPresenterBase&lt;TView&gt; does not instantiate dictionaries for TabModuleSettings and ModuleSettings in its constructor. Subsequently, Presenters inheriting from ModuleSettingsPresenterBase&lt;TView&gt; will have to instantiate these two dictionaries inside their constructors or else a Null Reference Exception will be thrown when trying to access them. This is especially galling because the method LoadFromContext() of ModuleSettingsPresenterBase&lt;TView&gt; will try to add settings to these two dictionaries. It does so if setting keys are present inside ModuleContext.Configuration.ModuleSettings and .TabModuleSettings. 


Since LoadFromContext() does this, I think it should be the job of ModuleSettingsPresenterBase&lt;TView&gt; to instantiate its own properties!",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-20513,2.0,"Introduce well-known content types for required types that are immutable For the three default, immutable content types, I suggest introducing a well-known repository for those types as static members on the ContentType entity:


public class ContentType
{
...
private const string tabContentTypeName = ""Tab"";
private static ContentType _tab;
public static Tab
    { get { return _tab ?? (_tab = new ContentTypeController().GetContentTypes().FirstOrDefault(type =&gt; type.ContentType ==
tabContentTypeName)); } }



private const string moduleContentTypeName = ""Module"";
private static ContentType _module;
public static Module
    { get { return _module ?? (_module = new ContentTypeController().GetContentTypes().FirstOrDefault(type =&gt; type.ContentType ==  moduleContentTypeName)); } }




private const string desktopModuleContentTypeName = ""DesktopModule"";
private static ContentType _desktopModule;
public static DesktopModule
    { get { return _desktopModule ?? (_desktopModule = new ContentTypeController().GetContentTypes().FirstOrDefault(type =&gt; type.ContentType ==  desktopModuleContentTypeName)); } }



...
}


These well-known types would be a lot more readily usable for content consumers, where currently a developer has to query the type controller manually (and likely cache the value in exactly the same manner).",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-20544,1.0,"Console Module Does Not Honour Include in Menu Setting Brief Description of Issue:

Unchecking the ""Include in Menu?"" option does not result in the page being removed from the Console display.

Despite the fact that the Console isn&amp;apos;t expressly a menu, the behaviour still falls outside what I would expect -- which is that the page would not be listed in the Console.


Clear Steps to Reproduce:

1. Create a page.
2. Create a second page (in my case as a child of the first).
3. Edit the settings of the second page to not be included in the menu.
4. Both pages will appear in the Console.

Actual Result:

Pages set to not show in menu (i.e. navigation) show.


Expected Result:

Pages set to not show in menu, should not show in the Console.

(Debatable perhaps, but still feel inconsistent.)

Proposed Fix:

Update CanShowTab() in /DesktopModules/Admin/Console/ViewConsole.ascx.cs.

Line 376 [Current]:
return (!tab.IsDeleted &amp;&amp; (tab.StartDate &lt; DateTime.Now || tab.StartDate == Null.NullDate)) &amp;&amp; TabPermissionController.CanViewPage(tab);

Line 376 [Proposed]:
return (!tab.IsDeleted &amp;&amp; (tab.StartDate &lt; DateTime.Now || tab.StartDate == Null.NullDate)) &amp;&amp; TabPermissionController.CanViewPage(tab) &amp;&amp; tab.IsVisible;",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNN-21060,1.0,"Include EditorOverride.css in custom Telerik dialogs DotNetNuke overrides many Telerik editor dialogs.  It also exposes a custom stylesheet for overriding editor styles.


However, this stylesheet is not included for dialogs.  This would be a very useful addition in some circumstances.


Suggest including in the dialog markup (e.g. /Providers/HtmlEditorProviders/Telerik/Dialogs/LinkManager.ascx) as:




&lt;link href=""&lt;%= DotNetNuke.Entities.Portals.PortalSettings.Current.PortalAlias.HTTPAlias %&gt;/Providers/HtmlEditorProviders/Telerik/EditorOverride.css"" rel=""stylesheet"" type=""text/css"" /&gt;




It may be overkill to use the client resource manager here, but that is another option.",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DNN-21211,2.0,"Default value for role status should be approved for old templates I still use some old templates and I noticed things didn&amp;apos;t quite work as before on the new beta. I traced it to the fact that no roles were approved. I think if the node of status is not set in a template, it should default to approved.",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
