boardid,sprintid,type,priority,no_comment,no_affectversion,no_fixversion,no_issuelink,no_blocking,no_blockedby,no_fixversion_change,no_priority_change,no_des_change,gunning_fog
80,6,Task,Critical - P2,0,0,1,0,0,0,0,0,0,hard
80,6,Improvement,Blocker - P1,1,0,1,1,0,0,1,1,0,easy
80,6,Task,Trivial - P5,0,0,1,0,0,0,0,1,0,hard
80,6,Task,Major - P3,2,0,1,0,0,0,1,1,3,medium
80,6,Sub-task,Blocker - P1,8,0,2,3,0,0,0,3,1,easy
80,6,Improvement,Blocker - P1,1,0,1,0,0,0,0,1,0,hard
80,6,Sub-task,Major - P3,1,0,1,0,0,0,1,0,0,medium
80,6,Task,Major - P3,0,0,0,1,0,0,0,1,1,hard
80,6,Bug,Major - P3,0,0,0,1,0,0,0,0,0,hard
80,6,Task,Critical - P2,1,0,1,3,0,0,0,0,1,medium
80,6,Improvement,Major - P3,0,0,1,0,0,0,0,0,0,hard
80,6,Task,Critical - P2,1,1,1,0,0,0,0,1,0,hard
80,6,Improvement,Minor - P4,0,0,1,1,0,0,0,0,2,hard
80,6,Improvement,Minor - P4,0,0,1,0,0,0,0,1,0,hard
80,6,Bug,Minor - P4,1,0,0,1,0,0,0,1,3,easy
80,6,Improvement,Major - P3,1,0,1,3,0,0,0,2,1,medium
80,6,Improvement,Major - P3,1,0,1,1,0,0,0,0,0,hard
80,6,Improvement,Minor - P4,0,0,0,1,0,0,0,1,2,hard
80,6,Improvement,Major - P3,0,0,0,3,0,0,0,0,1,hard
80,6,Bug,Critical - P2,1,0,1,2,0,0,0,0,0,medium
80,6,Improvement,Minor - P4,1,0,1,0,0,0,1,1,0,hard
80,6,Bug,Critical - P2,0,0,0,0,0,0,0,0,0,hard
80,6,Improvement,Major - P3,5,0,0,1,0,0,0,0,0,medium
80,6,Task,Major - P3,5,0,0,0,0,0,0,0,0,hard
80,6,Task,Major - P3,1,0,0,0,0,0,0,0,0,medium
80,6,Task,Major - P3,0,0,0,1,0,0,0,0,0,medium
80,6,Task,Minor - P4,2,0,1,3,0,0,1,1,2,hard
80,6,Improvement,Critical - P2,0,0,1,2,0,0,0,0,0,easy
80,6,Bug,Minor - P4,1,1,0,2,0,0,0,0,0,hard
80,412,Task,Major - P3,1,0,0,0,0,0,5,0,0,hard
80,412,Task,Major - P3,1,0,0,0,0,0,3,0,1,hard
80,412,Improvement,Minor - P4,0,0,0,1,0,0,7,3,1,hard
80,412,Bug,Minor - P4,0,0,0,0,0,0,5,1,0,medium
80,412,Improvement,Major - P3,1,0,1,0,0,0,3,0,0,medium
80,412,Task,Critical - P2,1,0,0,5,0,0,3,1,2,hard
80,412,Bug,Major - P3,0,0,0,0,0,0,6,0,0,easy
80,412,Improvement,Minor - P4,1,0,1,0,0,0,3,1,0,hard
80,412,Task,Major - P3,0,0,1,1,0,0,6,0,2,medium
80,412,Task,Major - P3,1,0,0,0,0,0,9,0,0,medium
80,412,Improvement,Major - P3,0,0,1,3,0,0,5,0,1,hard
80,412,Task,Major - P3,0,0,1,0,0,0,3,0,0,medium
80,412,Task,Major - P3,0,0,1,0,0,0,3,0,1,easy
80,412,Task,Major - P3,2,0,1,0,0,0,2,0,0,medium
80,412,Task,Major - P3,0,0,0,1,0,0,5,0,0,medium
80,412,Improvement,Major - P3,0,0,1,1,0,0,3,0,0,easy
80,412,Task,Critical - P2,2,0,0,0,0,0,5,0,0,hard
80,412,Improvement,Minor - P4,0,0,0,0,0,0,3,1,0,medium
80,412,Task,Major - P3,1,0,1,0,0,0,3,0,0,easy
80,412,Improvement,Major - P3,0,0,0,0,0,0,3,0,0,easy
80,412,Bug,Major - P3,0,0,2,0,0,0,9,0,2,hard
80,412,Task,Critical - P2,0,0,0,2,0,0,3,0,0,medium
80,412,Improvement,Critical - P2,0,0,1,1,0,0,3,1,6,hard
80,412,Improvement,Major - P3,0,0,1,0,0,0,3,1,0,hard
80,412,Improvement,Major - P3,0,0,0,2,0,0,3,0,0,hard
80,412,Improvement,Major - P3,6,0,0,0,0,0,3,1,2,hard
80,412,Improvement,Major - P3,0,0,0,0,0,0,2,0,0,hard
80,412,Task,Critical - P2,1,0,1,0,0,0,3,1,1,medium
80,412,Bug,Major - P3,0,0,0,0,0,0,3,2,0,hard
80,412,Improvement,Major - P3,0,0,1,0,0,0,3,0,0,hard
80,412,Task,Critical - P2,2,0,1,0,0,0,3,0,1,easy
80,412,Task,Major - P3,0,0,0,0,0,0,3,0,0,medium
80,412,Task,Minor - P4,0,0,0,1,0,0,3,0,0,hard
80,412,Task,Blocker - P1,1,0,1,1,0,0,7,0,0,hard
80,412,Task,Critical - P2,0,0,2,3,0,0,6,0,0,easy
80,412,Bug,Major - P3,4,0,1,0,0,0,5,0,0,hard
80,412,Bug,Major - P3,0,0,1,0,0,0,1,1,0,easy
80,412,Improvement,Major - P3,0,1,2,0,0,0,1,0,0,hard
80,412,Bug,Major - P3,0,0,3,0,0,0,1,0,0,hard
80,412,Improvement,Minor - P4,2,0,1,0,0,0,5,0,1,hard
80,412,Task,Major - P3,0,0,0,0,0,0,5,0,0,medium
80,412,Task,Major - P3,0,0,0,0,0,0,7,0,0,hard
80,412,Bug,Major - P3,2,0,1,0,0,0,1,1,0,hard
80,412,Improvement,Major - P3,0,0,1,0,0,0,7,0,0,hard
80,412,Task,Major - P3,0,0,1,0,0,0,7,0,0,easy
80,412,Improvement,Minor - P4,0,0,2,0,0,0,1,0,0,medium
80,412,Task,Critical - P2,0,1,0,1,0,0,1,0,0,medium
80,412,Task,Critical - P2,0,0,0,3,0,0,4,0,0,medium
80,412,Task,Major - P3,0,0,0,0,0,0,5,0,0,medium
80,412,Task,Minor - P4,0,1,0,0,0,0,1,0,0,hard
80,412,Bug,Trivial - P5,0,0,1,0,0,0,3,1,0,easy
80,412,Bug,Major - P3,0,0,0,0,0,0,5,1,1,hard
80,412,Bug,Major - P3,0,0,0,0,0,0,4,0,0,hard
80,412,Task,Major - P3,0,0,0,2,0,0,1,0,0,hard
80,412,Bug,Major - P3,1,0,0,0,0,0,1,1,0,hard
80,412,Bug,Minor - P4,0,0,1,0,0,0,1,0,0,medium
80,412,Bug,Critical - P2,0,0,0,0,0,0,1,1,0,easy
